# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
308 568 0 0
781 659 1023 0
989 447 0 0
757 692 0 1023
934 108 1023 1023
627 5 1023 0
29 794 0 0
141 979 0 1023
859 631 1023 0
518 560 0 1023
646 897 1023 0
111 865 1023 1023
260 458 0 0
499 143 0 0
931 943 1023 0
794 614 0 1023
806 428 1023 0
145 414 1023 0
33 344 1023 1023
359 984 1023 1023
921 924 1023 1023
1006 820 0 0
10 748 1023 0
677 76 1023 0
1002 576 1023 1023
130 362 0 0
476 807 1023 1023
322 889 1023 0
623 312 1023 0
971 641 0 0
214 971 1023 0
623 1002 0 0
645 161 0 0
367 678 0 0
573 176 1023 1023
996 243 0 1023
918 921 0 1023
397 519 0 1023
352 773 1023 1023
634 1023 1023 1023
310 212 0 0
532 958 1023 0
173 35 0 1023
428 436 0 0
824 364 0 1023
234 693 0 0
541 875 1023 1023
706 993 0 1023
695 245 1023 1023
414 735 1023 0
941 447 1023 0
574 354 0 0
462 33 0 0
229 672 1023 0
668 567 0 1023
548 580 1023 0
819 1007 0 1023
586 129 0 1023
688 633 1023 0
24 450 1023 0
132 697 1023 1023
358 977 1023 0
12 585 0 0
160 281 0 1023
571 477 0 1023
370 734 1023 0
248 144 0 1023
97 522 1023 1023
600 191 1023 0
46 895 1023 0
589 161 0 1023
909 64 0 0
1018 682 1023 1023
548 955 0 1023
648 97 1023 0
481 92 1023 0
88 664 1023 1023
1009 636 1023 1023
376 932 1023 1023
189 123 1023 1023
583 851 1023 0
216 323 0 0
832 617 0 1023
52 964 0 0
664 169 0 0
844 702 0 0
705 35 1023 0
769 87 1023 0
761 875 0 1023
775 478 1023 1023
910 32 1023 0
635 480 1023 1023
989 803 1023 1023
647 199 1023 1023
80 692 1023 0
527 299 1023 1023
100 482 0 0
963 547 0 0
1014 689 1023 0
294 1017 1023 1023
754 344 0 1023
512 580 0 0
957 26 1023 0
560 1001 1023 1023
881 458 1023 0
977 1001 0 0
155 391 1023 1023
125 98 1023 1023
40 290 1023 0
920 633 1023 0
987 278 1023 1023
84 496 1023 1023
740 884 0 1023
714 502 0 1023
524 119 1023 0
36 550 0 1023
685 686 0 1023
987 576 0 1023
275 818 1023 1023
375 651 0 0
686 632 1023 0
256 889 0 0
350 988 0 1023
971 119 1023 0
927 247 0 0
776 968 1023 1023
2 870 1023 0
727 561 1023 1023
411 791 0 1023
178 611 0 0
256 578 1023 0
358 251 0 0
694 735 0 0
514 125 1023 0
857 305 0 1023
369 420 1023 0
754 817 1023 0
749 312 1023 0
692 397 1023 0
365 736 0 1023
572 798 0 1023
416 750 0 1023
193 320 1023 1023
512 438 1023 0
194 974 1023 1023
1002 446 1023 1023
601 823 1023 1023
337 283 1023 0
862 497 1023 1023
940 176 1023 1023
967 78 1023 0
488 500 1023 1023
599 22 0 0
561 127 0 0
703 801 0 1023
248 557 0 1023
213 260 1023 1023
621 629 0 0
217 344 0 0
976 1013 0 0
409 397 0 0
573 930 0 1023
733 134 0 0
155 961 1023 0
533 540 0 0
545 462 0 0
922 472 1023 0
308 515 1023 0
382 864 0 0
953 223 1023 0
700 455 0 1023
147 420 1023 1023
590 894 0 0
168 207 1023 0
445 972 1023 0
895 541 0 1023
1012 899 0 1023
868 526 0 0
191 196 1023 0
455 125 0 1023
580 402 1023 1023
204 771 1023 1023
477 579 1023 1023
183 654 1023 0
517 344 0 0
270 79 1023 0
1005 235 0 0
46 834 0 0
114 756 0 0
349 573 0 0
130 573 0 1023
94 764 0 0
781 547 1023 1023
630 486 0 0
325 644 0 0
839 383 0 1023
881 5 1023 1023
245 461 1023 0
75 210 0 1023
641 226 1023 1023
330 951 0 1023
227 89 0 1023
857 828 1023 1023
176 552 1023 1023
128 824 0 0
238 326 1023 0
267 90 0 1023
722 533 1023 0
796 609 1023 1023
949 617 0 0
916 540 1023 0
6 729 0 1023
825 808 0 1023
656 455 1023 0
292 868 1023 0
533 864 0 0
954 269 0 1023
143 579 0 0
1015 203 1023 0
482 493 1023 1023
791 224 1023 1023
150 384 0 1023
3 857 1023 1023
659 758 1023 1023
947 605 0 0
909 308 0 0
594 231 1023 1023
666 833 1023 0
957 532 0 1023
420 836 1023 1023
917 901 1023 1023
597 471 1023 0
225 488 1023 1023
474 596 1023 0
746 306 0 1023
929 653 1023 1023
686 902 0 1023
763 371 0 1023
792 26 1023 0
708 283 0 0
183 931 1023 1023
542 493 1023 0
485 455 0 1023
894 734 1023 1023
163 790 1023 1023
366 938 0 1023
430 664 0 0
216 709 0 0
219 503 0 1023
670 753 0 1023
416 269 1023 1023
14 973 1023 0
449 123 0 0
774 641 1023 0
915 57 1023 1023
684 886 1023 1023
165 98 0 0
